date,close
01-01-2015,199.63
02-01-2015,199.1
05-01-2015,196.92
06-01-2015,187.98
07-01-2015,192.08
08-01-2015,189.32
09-01-2015,193.42
12-01-2015,191.18
13-01-2015,189.57
14-01-2015,187.72
15-01-2015,194.31
16-01-2015,195.54
19-01-2015,197.77
20-01-2015,203.04
21-01-2015,203.87
22-01-2015,198.7
23-01-2015,199.4
27-01-2015,199.89
28-01-2015,203.89
29-01-2015,208.96
30-01-2015,205.78
02-02-2015,204.16
03-02-2015,210.8
04-02-2015,208.83
05-02-2015,207.68
06-02-2015,204.58
09-02-2015,201.61
10-02-2015,198.3
11-02-2015,202.51
12-02-2015,204.41
13-02-2015,206.28
16-02-2015,202.98
18-02-2015,202.72
19-02-2015,202.81
20-02-2015,196.3
23-02-2015,191.43
24-02-2015,189.19
25-02-2015,189.57
26-02-2015,189.31
27-02-2015,192.36
28-02-2015,194.51
02-03-2015,194.31
03-03-2015,202.53
04-03-2015,199.62
05-03-2015,198.97
09-03-2015,195.53
10-03-2015,193.17
11-03-2015,192.45
12-03-2015,194.21
13-03-2015,191.13
16-03-2015,189.33
17-03-2015,192.65
18-03-2015,195.3
19-03-2015,192.49
20-03-2015,192.03
23-03-2015,189.3
24-03-2015,190.65
25-03-2015,189.96
26-03-2015,186.45
27-03-2015,182.5
30-03-2015,182.28
31-03-2015,185.71
01-04-2015,187.97
06-04-2015,185.41
07-04-2015,187.25
08-04-2015,194.68
09-04-2015,201.25
10-04-2015,203.33
13-04-2015,207.41
15-04-2015,207.67
16-04-2015,208.72
17-04-2015,208.39
20-04-2015,199.12
21-04-2015,197.06
22-04-2015,197.8
23-04-2015,197.19
24-04-2015,197.61
27-04-2015,196.8
28-04-2015,194.53
29-04-2015,191.11
30-04-2015,193.89
04-05-2015,200.32
05-05-2015,200.59
06-05-2015,197.91
07-05-2015,195.77
08-05-2015,200.03
11-05-2015,201.44
12-05-2015,195.31
13-05-2015,199
14-05-2015,197.45
15-05-2015,196.49
18-05-2015,200.45
19-05-2015,201.35
20-05-2015,204.34
21-05-2015,201.62
22-05-2015,203.22
25-05-2015,201.11
26-05-2015,198.89
27-05-2015,199.05
28-05-2015,196.91
29-05-2015,197.18
01-06-2015,202.86
02-06-2015,202.05
03-06-2015,201.53
04-06-2015,205.21
05-06-2015,204.09
08-06-2015,199.08
09-06-2015,198.69
10-06-2015,203.65
11-06-2015,197.21
12-06-2015,200.07
15-06-2015,202.74
16-06-2015,203.24
17-06-2015,209.37
18-06-2015,220.1
19-06-2015,224.08
